Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT1G04940,TIC20,2.01,DOWN,16.23,0.1186,translocon at the inner envelope membrane of chloroplasts 20
AT1G04960,,2.29,UP,9.69,0.2752,uncharacterized protein
AT1G04970,,3.55,UP,4.51,0.1690,lipid-binding serum glycoprotein-like protein
AT1G05000,,4.14,DOWN,10.98,0.1270,putative tyrosine-protein phosphatase
AT1G05070,,4.11,UP,9.85,0.4498,uncharacterized protein
AT1G05135,AT1G05135,1.51,DOWN,78.88,0.1102,pseudogene
AT1G05140,,1.61,DOWN,13.29,0.4624,peptidase M50-like protein
AT1G05205,,4.11,DOWN,27.02,0.1357,uncharacterized protein
AT1G05260,RCI3,1.31,DOWN,16.30,0.7192,peroxidase 3
AT1G05270,,3.43,UP,16.20,0.0794,TraB-like protein
AT1G05385,LPA19,4.38,UP,9.30,0.3624,LOW PSII accumulation 19 protein
AT1G05430,,2.62,UP,9.23,0.2695,uncharacterized protein
AT1G05560,UGT1,1.13,UP,9.69,1,indole-3-acetate beta-glucosyltransferase 1
AT1G05562,,3.10,UP,15.85,0.0601,Potential natural antisense gene; locus overlaps with AT1G05560
AT1G05570,ATGSL06,3.41,UP,5.87,0.0057,callose synthase 1
AT1G05620,URH2,5.69,DOWN,6.44,0.2481,putative uridine nucleosidase 2
AT1G05720,,1.56,DOWN,11.45,0.7694,selenoprotein-like protein
AT1G05805,,3.19,UP,5.25,0.2697,transcription factor bHLH128
AT1G05810,ATRAB11D,1.63,DOWN,10.01,0.7506,RAB GTPase homolog A5E
AT1G05835,,1.38,DOWN,16.18,1,PHD finger protein
AT1G05850,ATCTL1,1.61,DOWN,162.18,0.0009,chitinase-like protein 1
AT1G05870,,1.86,DOWN,6.95,0.5540,uncharacterized protein
AT1G05890,ATARI5,1.73,UP,11.58,0.1644,putative E3 ubiquitin-protein ligase ARI5
AT1G06000,,6.05,DOWN,8.54,0.1171,UDP-glycosyltransferase-like protein
AT1G06002,,1.83,UP,20.73,0.3367,Potential natural antisense gene; locus overlaps with AT1G06000
AT1G06040,STO,2.36,DOWN,39.31,0.0069,Salt tolerance protein
AT1G06110,SKIP16,1.21,DOWN,11.78,0.9960,F-box protein SKIP16
AT1G06130,GLX2-4,1.11,UP,11.44,1,putative hydroxyacylglutathione hydrolase 2; chloroplast
AT1G06190,,1.22,DOWN,25.14,0.6976,Rho termination factor
AT1G06200,,1.75,UP,19.59,0.4015,peptidase-S24/S26 domain-containing protein
AT1G06290,ACX3,1.48,UP,11.25,0.3267,acyl-coenzyme A oxidase 3
AT1G06360,,1.50,DOWN,28.76,0.3294,delta-9 desaturase-like 5 protein
AT1G06400,ARA2,1.02,UP,13.44,1,Ras-related protein RABA1a
AT1G06410,ATTPS7,1.97,UP,20.03,0.0009,putative alpha;alpha-trehalose-phosphate synthase
AT1G06430,FTSH8,1.04,UP,18.91,1,cell division protease ftsH-8
AT1G06460,ACD32.1,1.00,UP,30.10,1,alpha-crystallin domain 32.1
AT1G06515,,1.10,UP,9.56,1,uncharacterized protein
AT1G06530,,1.56,UP,25.23,0.2885,tropomyosin-related protein
AT1G06640,,1.66,DOWN,21.50,0.3545,1-aminocyclopropane-1-carboxylate oxidase-2
AT1G06650,,1.86,UP,12.44,0.2966,1-aminocyclopropane-1-carboxylate oxidase-4
AT1G06680,PSBP-1,1.51,DOWN,1240.24,0.0009,oxygen-evolving enhancer protein 2-1
AT1G06690,,1.47,DOWN,6.79,0.7506,NAD(P)-linked oxidoreductase-like protein
AT1G06700,,1.76,UP,16.60,0.1856,protein kinase domain-containing protein
AT1G06760,,1.04,UP,46.14,1,histone H1.1
AT1G06820,CRTISO,2.24,UP,8.29,0.2132,carotenoid isomerase
AT1G06830,,2.60,DOWN,12.74,0.5733,monothiol glutaredoxin-S11
AT1G06850,AtbZIP52,1.48,DOWN,5.53,0.7822,basic leucine-zipper 52
AT1G06890,,1.51,DOWN,12.84,0.4633,nodulin MtN21 /EamA-like transporter protein
AT1G06950,TIC110,2.97,UP,15.61,0.0009,translocon at the inner envelope membrane of chloroplasts 110
AT1G07010,,1.42,UP,12.66,0.5443,calcineurin-like metallo-phosphoesterase-like protein
AT1G07030,,1.09,DOWN,10.94,1,Mitochondrial substrate carrier family protein
AT1G07070,,7.04,DOWN,12.92,0.1272,60S ribosomal protein L35a-1
AT1G07080,,3.84,DOWN,24.68,0.0397,GILT domain-containing protein
AT1G07110,F2KP,2.80,UP,13.25,0.0155,fructose-2;6-bisphosphatase
AT1G07135,,1.56,DOWN,17.84,0.5620,glycine-rich protein
AT1G07140,SIRANBP,1.04,DOWN,40.70,1,Ran-binding protein 1-a
AT1G07170,,2.72,DOWN,14.39,0.4088,PHF5-like protein
AT1G07180,ATNDI1,1.60,UP,14.31,0.2678,alternative NAD(P)H dehydrogenase 1
AT1G07210,,1.07,UP,9.40,1,Ribosomal protein S18
AT1G07230,NPC1,3.22,UP,6.04,0.0965,phospholipase C
AT1G07250,UGT71C4,1.13,DOWN,11.91,1,UDP-glucosyl transferase 71C4
AT1G07280,,1.51,UP,9.28,0.4240,tetratricopeptide repeat-containing protein-like protein
AT1G07310,,1.26,DOWN,17.52,0.7348,calcium-dependent lipid-binding domain
AT1G07420,ATSMO2,1.34,DOWN,6.87,0.9113,methylsterol monooxygenase
AT1G07440,,2.26,UP,7.29,0.4424,tropinone reductase-like protein
AT1G07490,RTFL3,2.05,UP,7.45,0.8567,protein rotundifolia like 3
AT1G07590,,1.40,DOWN,461.63,0.0009,pentatricopeptide repeat-containing protein
AT1G07610,MT1C,1.74,UP,502.67,0.0009,metallothionein 1C
AT1G07640,OBP2,1.28,DOWN,13.33,0.7270,Dof zinc finger protein DOF1.1
AT1G07660,,1.71,UP,12.17,0.5798,histone H4
AT1G07750,,2.41,DOWN,9.31,0.1704,cupin domain-containing protein
AT1G07790,HTB1,2.17,DOWN,29.77,0.1802,histone H2B
AT1G07820,,3.07,DOWN,46.79,0.0512,histone H4
AT1G07890,APX1,1.03,DOWN,162.44,1,L-ascorbate peroxidase
AT1G07920,,1.69,DOWN,41.68,0.0080,Elongation factor 1-alpha
AT1G07930,,1.79,DOWN,64.14,0.0009,Elongation factor 1-alpha
AT1G07940,,1.93,DOWN,36.09,0.0057,Elongation factor 1-alpha
AT1G07950,MED22B,2.78,DOWN,7.94,0.3135,Surfeit locus protein 5 subunit 22 of Mediator complex
AT1G07960,ATPDIL5-1,2.45,DOWN,15.32,0.2593,PDI-like 5-1
AT1G08010,GATA11,1.19,DOWN,7.81,1,GATA transcription factor 11
AT1G08110,,1.53,UP,27.78,0.3367,lactoylglutathione lyase
AT1G08115,,1.96,DOWN,68109.50,0.0009,snRNA
AT1G08160,,9.22,DOWN,5.53,0.5630,late embryogenesis abundant hydroxyproline-rich glycoprotein
AT1G08190,ATVPS41,1.17,UP,11.56,0.7722,vacuolar protein sorting-associated protein 41-like protein
AT1G08200,AXS2,1.04,UP,45.77,1,UDP-apiose/xylose synthase
AT1G08360,,1.30,DOWN,68.24,0.3236,60S ribosomal protein L10a-1
AT1G08370,ATDCP1,1.76,DOWN,9.49,0.3851,mRNA-decapping enzyme-like protein
AT1G08380,PSAO,1.93,DOWN,2177.24,0.0009,photosystem I subunit O
AT1G08420,BSL2,1.01,DOWN,6.75,1,serine/threonine-protein phosphatase BSL2
AT1G08450,AtCRT3,1.77,UP,14.33,0.2512,calreticulin-3
AT1G08480,,1.43,DOWN,30.86,0.4633,uncharacterized protein
AT1G08510,FATB,1.54,DOWN,25.49,0.0575,fatty acyl-ACP thioesterases B
AT1G08520,PDE166,2.38,UP,30.17,0.0009,magnesium-chelatase subunit chlD
AT1G08540,SIGB,3.09,UP,15.58,0.0096,RNApolymerase sigma subunit 2
AT1G08550,NPQ1,3.49,UP,13.72,0.0091,Violaxanthin de-epoxidase
AT1G08560,SYP111,1.47,UP,17.68,0.5267,syntaxin-related protein KNOLLE
AT1G08570,ACHT4,1.66,DOWN,31.74,0.1028,thioredoxin-like 1-1
AT1G08580,,2.32,UP,14.97,0.3521,uncharacterized protein
AT1G08640,CJD1,1.07,UP,10.35,1,Chloroplast J-like domain 1-containing protein
AT1G08650,PPCK1,1.79,DOWN,26.83,0.1861,phosphoenolpyruvate carboxylase kinase 1
AT1G08700,PS1,1.45,DOWN,12.18,0.5292,Presenilin-1
AT1G08780,AIP3,1.48,UP,22.91,0.7916,ABI3-interacting protein 3
AT1G08820,VAP27-2,1.34,UP,9.14,0.7847,vamp/synaptobrevin-associated protein 27-2
AT1G08830,CSD1,1.75,DOWN,170.20,0.0009,Superoxide dismutase
AT1G08845,,2.64,DOWN,5.78,0.6436,Ribosomal L.8/L5e family protein
AT1G08880,G-H2AX,1.13,DOWN,38.70,1,putative histone H2AXa
AT1G08920,ESL1,1.85,DOWN,5.56,0.5378,sugar transporter ERD6-like 3
AT1G08930,ERD6,1.91,DOWN,22.97,0.0743,sugar transporter ERD6
AT1G08970,HAP5C,1.14,UP,8.46,1,nuclear transcription factor Y subunit C-9
AT1G08980,ATAMI1,1.20,DOWN,11.23,0.9090,amidase 1
AT1G09010,,1.95,UP,4.53,0.2107,mannosylglycoprotein endo-beta-mannosidase subunit
AT1G09020,SNF4,1.25,DOWN,7.76,0.8872,sucrose nonfermenting 4-like protein
AT1G09070,(AT)SRC2,2.05,DOWN,44.62,0.0032,uncharacterized protein
AT1G09130,,1.42,DOWN,39.89,0.2150,ATP-dependent Clp protease proteolytic subunit-related protein 3
AT1G09140,At-SR30,2.07,UP,17.24,0.1700,splicing factor; arginine/serine-rich 1/9
AT1G09200,,1.04,UP,65.88,1,histone H3
AT1G09210,CRT1b,1.70,UP,24.94,0.0617,calreticulin-2
AT1G09250,,1.78,DOWN,16.69,0.3915,transcription factor bHLH149
AT1G09270,IMPA-4,1.70,UP,19.33,0.1138,importin alpha isoform 4
AT1G09310,,1.02,UP,290.16,1,uncharacterized protein
AT1G09330,,1.59,DOWN,12.73,0.5952,uncharacterized protein
AT1G09340,CSP41B,1.22,UP,200.36,0.0609,RNA binding protein
AT1G09430,ACLA-3,1.43,UP,14.19,0.4350,ATP-citrate lyase A-3
AT1G09560,GLP5,1.01,DOWN,68.99,1,germin-like protein subfamily 2 member 1
AT1G09570,PHYA,1.84,UP,11.21,0.0515,phytochrome A
AT1G09590,,1.31,DOWN,47.29,0.4966,60S ribosomal protein L21-1
AT1G09620,,1.20,DOWN,12.43,0.6124,leucyl-tRNA synthetase
AT1G09630,RAB-A2A,1.19,UP,10.92,1,Ras-related protein RABA2a
AT1G09640,,2.21,DOWN,66.31,0.0009,elongation factor EF-1 gamma subunit
AT1G09645,,2.36,DOWN,14.34,0.3768,uncharacterized protein
AT1G09660,,1.84,UP,5.91,0.4736,RNA-binding KH domain-containing protein
AT1G09690,,1.48,DOWN,151.11,0.0182,60S ribosomal protein L21-1
AT1G09740,,1.01,DOWN,20.00,1,adenine nucleotide alpha hydrolases-like protein
AT1G09750,,1.63,DOWN,45.50,0.0174,aspartyl protease-like protein
AT1G09760,U2A',2.98,UP,8.56,0.2749,U2 small nuclear ribonucleoprotein A'
AT1G09770,ATCDC5,3.28,UP,8.57,0.0194,cell division cycle 5-like protein
AT1G09780,,1.18,DOWN,62.12,0.4567,2;3-bisphosphoglycerate-independent phosphoglycerate mutase 1
AT1G09795,ATP-PRT2,1.36,DOWN,30.10,0.3573,ATP phosphoribosyltransferase
AT1G09815,POLD4,3.61,DOWN,14.73,0.1259,DNA polymerase delta subunit 4
AT1G09830,,1.30,UP,7.13,0.8866,phosphoribosylamine--glycine ligase
AT1G09920,,1.37,DOWN,11.09,0.8174,TRAF-type zinc finger-related protein
AT1G10020,,1.45,DOWN,6.85,0.5420,uncharacterized protein
AT1G10030,ERG28,1.76,DOWN,23.65,0.4770,Ergosterol biosynthetic protein 28
AT1G10060,BCAT-1,1.52,DOWN,5.89,0.6271,branched-chain-amino-acid aminotransferase 1
AT1G10140,,1.93,DOWN,19.08,0.3711,uncharacterized protein
AT1G10200,WLIM1,1.97,DOWN,24.83,0.2072,transcription factor lim1
AT1G10290,ADL6,3.36,UP,6.05,0.0376,dynamin-2A
AT1G10360,ATGSTU18,2.48,UP,10.17,0.4975,glutathione S-transferase TAU 18
AT1G10370,GST30B,5.21,DOWN,9.74,0.3912,glutathione S-transferase
AT1G10390,,2.58,UP,3.70,0.0938,Nucleoporin autopeptidase
AT1G10410,,1.40,DOWN,7.63,0.7269,uncharacterized protein
AT1G10470,ATRR1,1.30,DOWN,29.46,0.6004,two-component response regulator ARR4
AT1G10500,ATCPISCA,1.15,DOWN,30.30,1,Iron-sulfur assembly protein IscA
AT1G10522,,1.02,UP,14.50,1,uncharacterized protein
AT1G10580,,1.85,UP,11.17,0.1662,pre-mRNA-processing factor 17
AT1G10590,,1.52,DOWN,52.77,0.2723,replication factor A1
AT1G10600,AMSH2,3.93,DOWN,6.10,0.5763,AMSH-like ubiquitin thiolesterase 2
AT1G10630,ARFA1F,2.23,DOWN,27.03,0.1297,ADP-ribosylation factor A1F
AT1G10660,,2.36,DOWN,7.23,0.2164,uncharacterized protein
AT1G10670,ACLA-1,1.33,UP,61.30,0.1332,ATP-citrate lyase A-1
AT1G10682,,3.14,DOWN,90.91,0.0075,other RNA
AT1G10740,,1.56,DOWN,9.76,0.4908,alpha/beta-hydrolase domain-containing protein
AT1G10760,GWD,6.30,UP,11.33,0.0009,alpha-glucan water dikinase 1
AT1G10840,TIF3H1,1.46,UP,18.41,0.3507,translation initiation factor eIF-3 subunit 3
AT1G10865,,2.00,DOWN,25.41,0.3722,uncharacterized protein
AT1G10940,SNRK2.4,1.76,UP,17.16,0.1458,serine/threonine-protein kinase SRK2A
AT1G10950,TMN1,1.51,DOWN,32.25,0.1270,transmembrane nine 1
AT1G10960,ATFD1,1.98,DOWN,229.03,0.0009,ferredoxin
AT1G11090,,6.79,DOWN,5.54,0.3641,alpha/beta-hydrolase-like protein
AT1G11175,,6.36,DOWN,13.75,0.1421,other RNA
AT1G11185,,1.69,DOWN,23.09,0.7000,other RNA
AT1G11240,,3.28,UP,12.51,0.0885,uncharacterized protein
AT1G11260,STP1,1.30,DOWN,23.89,0.4236,sugar transporter 1
AT1G11310,PMR2,1.32,UP,11.61,0.5677,MLO-like protein 2
AT1G11350,CBRLK1,7.11,UP,5.65,0.1270,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-13
AT1G11360,,1.94,DOWN,15.09,0.1534,adenine nucleotide alpha hydrolases-like protein
AT1G11380,,1.20,DOWN,15.30,1,PLAC8 family protein
AT1G11400,PYM,2.38,UP,7.32,0.3681,partner of Y14-mago
AT1G11430,,1.26,DOWN,28.12,0.6300,putative plastid developmental protein DAG
AT1G11475,NRPE10,1.08,DOWN,37.07,1,DNA-directed RNA Polymerase II subunit L
AT1G11480,,1.01,UP,6.15,1,eukaryotic translation initiation factor-like protein
AT1G11530,ATCXXS1,2.13,DOWN,18.31,0.5168,thioredoxin-like protein CXXS1
AT1G11545,XTH8,3.51,DOWN,21.50,0.0504,xyloglucan:xyloglucosyl transferase
AT1G11580,ATPMEPCRA,1.47,DOWN,34.24,0.1094,bifunctional pectinesterase 18/rRNA N-glycosylase
AT1G11650,ATRBP45B,1.43,DOWN,91.20,0.0151,RNA recognition motif-containing protein
AT1G11680,CYP51G1,2.03,DOWN,36.21,0.0038,cytochrome P450; family 51 (sterol 14-demethylase)
AT1G11700,,1.60,UP,12.26,0.6586,uncharacterized protein
AT1G11750,NCLPP1,1.01,DOWN,34.54,1,ATP-dependent Clp protease proteolytic subunit 6
AT1G11760,MED32,2.80,DOWN,16.80,0.1902,uncharacterized protein
AT1G11820,,1.39,DOWN,10.89,0.6220,O-Glycosyl hydrolases family 17 protein
AT1G11840,ATGLX1,1.30,UP,65.48,0.2561,lactoylglutathione lyase-like protein
AT1G11850,,2.24,DOWN,81.45,0.0580,uncharacterized protein
AT1G11860,,1.36,UP,251.85,0.0009,aminomethyltransferase
AT1G11910,APA1,1.09,DOWN,78.94,0.7379,aspartic proteinase A1
AT1G11930,,3.23,UP,25.86,0.0267,putative pyridoxal phosphate-dependent enzyme; YBL036C type
AT1G12013,SNOR111,7.10,DOWN,742.70,0.1270,SNOR111snoRNA
AT1G12020,,1.32,DOWN,9.79,0.9765,uncharacterized protein
AT1G12040,LRX1,1.38,DOWN,7.12,0.5420,leucine-rich repeat extensin-like protein 1
AT1G12080,,2.20,DOWN,36.28,0.1288,Vacuolar calcium-binding protein-like protein
AT1G12090,ELP,1.89,DOWN,286.33,0.0009,extensin-like protein
AT1G12110,CHL1-1,1.65,DOWN,83.79,0.0009,nitrate transporter 1.1
AT1G12230,,1.37,UP,29.65,0.3759,transaldolase
AT1G12250,,1.69,UP,17.22,0.3474,Pentapeptide repeat-containing protein
AT1G12270,Hop1,3.03,UP,8.12,0.1148,putative stress-inducible protein
AT1G12310,,1.08,UP,70.34,1,putative calcium-binding protein CML13
AT1G12360,KEU,3.12,UP,5.66,0.1233,SNARE-interacting protein KEULE
AT1G12410,CLPR2,1.42,UP,44.19,0.2726,ATP-dependent Clp protease; protease subunit
AT1G12440,,3.79,DOWN,33.51,0.0140,zinc finger A20 and AN1 domain-containing stress-associated protein 1
AT1G12520,CCS,2.13,UP,22.14,0.0777,copper chaperone for SOD1
AT1G12530,,2.55,UP,6.99,0.6122,uncharacterized protein
AT1G12640,,2.09,UP,7.99,0.3297,MBOAT (membrane bound O-acyl transferase)-like protein
AT1G12680,PEPKR2,4.33,UP,5.11,0.2471,serine/threonine-protein kinase PEPKR2
AT1G12760,,1.20,DOWN,18.30,0.7466,E3 ubiquitin-protein ligase
AT1G12780,UGE1,1.62,UP,8.25,0.4856,UDP-D-glucose/UDP-D-galactose 4-epimerase 1
AT1G12800,,6.98,UP,14.84,0.0038,S1 RNA-binding domain-containing protein
AT1G12810,,2.03,DOWN,14.37,0.3875,proline-rich family protein
AT1G12820,AFB3,1.35,DOWN,9.64,0.6215,auxin signaling F-box 3 protein
AT1G12830,,2.55,UP,12.82,0.2793,uncharacterized protein
AT1G12840,DET3,1.57,DOWN,46.72,0.0844,V-type proton ATPase subunit C
AT1G12845,,4.32,DOWN,11.35,0.4325,uncharacterized protein
AT1G12850,,4.66,DOWN,6.81,0.2564,phosphoglycerate mutase-like protein
AT1G12860,SCRM2,1.20,UP,8.79,0.9350,uncharacterized basic helix-loop-helix protein
AT1G12900,GAPA-2,1.41,DOWN,368.33,0.0009,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating)
AT1G12920,ERF1-2,1.07,UP,21.46,1,peptide chain release factor eRF subunit 1
AT1G13020,EIF4B2,3.48,UP,7.14,0.0929,eukaryotic initiation factor 4B2
AT1G13060,PBE1,1.01,UP,33.65,1,proteasome subunit beta type-5-A
AT1G13080,CYP71B2,1.33,UP,6.86,0.9185,cytochrome P450 71B2
AT1G13090,CYP71B28,3.72,UP,7.87,0.1788,cytochrome P450 71B28
AT1G13110,CYP71B7,1.83,UP,13.21,0.1417,cytochrome P450 71B7
AT1G13145,,2.74,DOWN,9.70,0.4366,pseudogene
AT1G13190,,1.87,UP,9.31,0.1734,RNA recognition motif-containing protein
AT1G13245,DVL4,2.04,DOWN,47.32,0.2295,ROTUNDIFOLIA like 17
AT1G13260,RAV1,1.13,UP,16.13,1,AP2/ERF and B3 domain-containing transcription factor RAV1
AT1G13270,MAP1C,1.20,UP,14.98,0.9173,methionine aminopeptidase 1B
AT1G13280,AOC4,1.12,UP,11.76,1,allene oxide cyclase
AT1G13300,HRS1,1.31,DOWN,6.44,0.9182,myb-like transcription factor family protein
AT1G13320,PP2AA3,1.78,UP,22.65,0.0422,protein phosphatase 2A subunit A3
AT1G13360,,4.41,DOWN,28.47,0.0112,uncharacterized protein
AT1G13380,,1.58,DOWN,21.48,0.5871,uncharacterized protein
AT1G13440,GAPC-2,1.57,DOWN,510.76,0.0009,glyceraldehyde 3-phosphate dehydrogenase
AT1G13560,AAPT1,1.44,UP,19.74,0.4088,ethanolaminephosphotransferase
AT1G13820,,1.38,UP,9.50,0.8092,alpha/beta-hydrolase-like protein
AT1G13930,,1.64,DOWN,421.45,0.0009,uncharacterized protein
AT1G13990,,5.06,UP,16.25,0.0534,uncharacterized protein
AT1G14010,,1.01,DOWN,9.07,1,emp24/gp25L/p24 family/GOLD domain-containing protein
AT1G14030,,4.46,UP,3.76,0.3252,.
AT1G14060,,2.56,DOWN,8.57,0.5769,GCK domain-containing protein
AT1G14150,PQL1,1.11,UP,56.41,1,photosystem II oxygen-evolving enhancer protein
AT1G14200,,1.43,DOWN,11.90,0.9018,RING/U-box domain-containing protein
AT1G14210,,1.65,DOWN,10.91,0.6176,Ribonuclease T2 family protein
AT1G14270,,1.80,UP,15.36,0.2293,CAAX amino terminal motif-containing protease
AT1G14280,PKS2,3.78,UP,9.59,0.1755,phytochrome kinase substrate 2
AT1G14290,SBH2,2.91,DOWN,11.13,0.1880,sphingoid base hydroxylase 2
AT1G14345,,1.40,DOWN,106.59,0.1718,NAD(P)-linked oxidoreductase-like protein
AT1G14400,UBC1,2.15,DOWN,56.80,0.0194,ubiquitin-conjugating enzyme E2 1
AT1G14450,,1.90,DOWN,193.08,0.0096,NADH dehydrogenase (ubiquinone)
AT1G14510,AL7,1.63,DOWN,15.53,0.4011,protein alfin-like 7
AT1G14570,,125.85,UP,5.44,0.2102,UBX domain-containing protein
AT1G14580,,1.22,UP,6.04,1,C2H2-like zinc finger protein
AT1G14610,VALRS,4.75,UP,7.09,0.0174,Valyl-tRNA synthetase
AT1G14620,DECOY,1.21,UP,7.23,1,protein decoy
AT1G14650,,1.44,UP,5.13,0.5472,splicing factor 3A subunit 1
AT1G14670,,1.11,DOWN,30.90,0.9350,putative endomembrane protein 70
AT1G14685,BBR/BPC2,1.13,DOWN,8.68,1,basic pentacysteine 2
AT1G14700,PAP3,1.03,UP,8.35,1,purple acid phosphatase 3
AT1G14710,,2.14,UP,9.39,0.0722,hydroxyproline-rich glycoprotein-like protein
AT1G14720,EXGT-A2,1.46,DOWN,22.11,0.4244,xyloglucan:xyloglucosyl transferase
AT1G14810,,1.06,UP,36.01,1,semialdehyde dehydrogenase-like protein
AT1G14830,DRP1C,1.18,UP,7.04,0.9792,dynamin-related protein 1C
AT1G14870,PCR2,3.55,DOWN,29.98,0.1019,cadmium resistance protein 2
AT1G14880,PCR1,8.77,UP,13.80,0.3367,cadmium resistance protein 1
AT1G14890,,2.72,DOWN,13.80,0.3101,plant invertase/pectin methylesterase inhibitor domain-containing protein
AT1G14900,HMGA,1.07,DOWN,16.44,1,high mobility group protein A
AT1G14920,GAI,1.98,DOWN,6.79,0.2927,DELLA protein GAI
AT1G14960,,2.98,DOWN,11.04,0.2705,major latex-related protein
AT1G14980,CPN10,2.64,DOWN,83.18,0.0051,chaperonin 10
AT1G14990,,4.67,DOWN,4.30,0.5683,uncharacterized protein
AT1G15000,scpl50,2.27,DOWN,7.46,0.3957,serine carboxypeptidase-like 50
AT1G15002,,2.71,DOWN,22.14,0.4930,Potential natural antisense gene; locus overlaps with AT1G15000
AT1G15030,,1.45,UP,7.99,0.7254,uncharacterized protein
AT1G15100,RHA2A,2.83,DOWN,52.92,0.0528,E3 ubiquitin-protein ligase RHA2A
AT1G15120,,1.61,DOWN,180.53,0.1037,Ubiquinol-cytochrome C reductase hinge protein
AT1G15125,,1.35,UP,32.78,0.4113,S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
AT1G15130,,2.36,UP,7.51,0.1244,programmed cell death 6-interacting protein
AT1G15140,,1.22,UP,31.38,0.6688,FAD/NAD(P)-binding oxidoreductase
AT1G15180,,7.51,UP,6.97,0.2462,MATE efflux family protein
AT1G15200,,5.69,UP,11.71,0.2160,protein-protein interaction regulator family protein
AT1G15230,,1.80,UP,9.50,0.6908,uncharacterized protein
AT1G15250,,1.46,DOWN,26.57,0.8203,60S ribosomal protein L37-1
AT1G15260,,3.20,DOWN,14.40,0.2481,uncharacterized protein
AT1G15270,,1.03,DOWN,227.47,1,translation machinery associated protein TMA7
AT1G15280,,1.59,UP,11.11,0.1951,CASC3/Barentsz eIF4AIII binding protein
AT1G15290,,2.62,UP,6.90,0.0091,tetratricopeptide repeat-containing protein
AT1G15340,MBD10,3.81,UP,18.04,0.0009,methyl-CPG-binding domain 10
AT1G15350,,2.74,DOWN,11.20,0.1443,uncharacterized protein
AT1G15370,,1.33,UP,27.22,0.7721,SNARE-like protein
AT1G15380,,2.50,UP,8.70,0.3759,lactoylglutathione lyase / glyoxalase I-like protein
AT1G15390,PDF1A,1.21,DOWN,9.84,1,peptide deformylase 1A
AT1G15400,,1.06,DOWN,23.14,1,uncharacterized protein
AT1G15405,,1.73,UP,1573.66,0.0009,other RNA
AT1G15500,ATNTT2,2.35,DOWN,48.71,0.0009,ADP;ATP carrier protein 2
AT1G15690,AVP1,1.30,DOWN,162.08,0.0009,Pyrophosphate-energized vacuolar membrane proton pump 1
AT1G15730,,1.09,UP,13.38,1,Cobalamin biosynthesis CobW-like protein
AT1G15740,,2.94,UP,10.26,0.1220,leucine-rich repeat-containing protein
AT1G15750,WSIP1,2.19,UP,9.93,0.0309,protein TOPLESS
AT1G15820,LHCB6,1.95,DOWN,1065.58,0.0009,light harvesting complex photosystem II subunit 6
AT1G15825,,1.68,UP,28.00,0.8481,hydroxyproline-rich glycoprotein family protein
AT1G15860,,1.24,UP,7.14,1,uncharacterized protein
AT1G15880,atgos11,1.62,DOWN,13.87,0.5216,Golgi SNARE 11 protein
AT1G15930,,1.73,DOWN,134.76,0.0091,40S ribosomal protein S12-1
AT1G15950,ATCCR1,1.70,DOWN,27.37,0.1109,cinnamoyl coa reductase 1
AT1G15960,NRAMP6,1.84,DOWN,12.56,0.1925,metal transporter Nramp6
AT1G15980,NDF1,1.55,UP,26.29,0.1734,NDH-dependent cyclic electron flow 1
AT1G16000,,2.50,DOWN,60.55,0.1128,uncharacterized protein
AT1G16010,MRS2-1,1.11,DOWN,7.53,1,magnesium transporter MRS2-1
AT1G16080,,1.12,DOWN,32.44,0.9996,uncharacterized protein
AT1G16170,,1.95,DOWN,20.23,0.5733,uncharacterized protein
AT1G16180,,1.37,DOWN,55.50,0.1717,serinc-domain containing protein
AT1G16190,RAD23A,1.27,UP,7.77,0.9994,putative DNA repair protein RAD23-2
AT1G16210,,5.13,UP,12.13,0.2033,uncharacterized protein
AT1G16240,SYP51,2.24,UP,11.02,0.2807,syntaxin-51
AT1G16320,,1.10,DOWN,12.80,1,uncharacterized protein
AT1G16350,,1.16,UP,12.23,0.9996,IMP dehydrogenase
AT1G16410,CYP79F1,1.16,UP,11.01,1,dihomomethionine N-hydroxylase
AT1G16430,,1.58,DOWN,13.38,0.9962,Surfeit locus protein 5 subunit 22 of Mediator complex
AT1G16460,ATMST2,1.10,DOWN,9.96,1,rhodanese homologue 2
AT1G16470,PAB1,1.45,DOWN,31.49,0.3609,proteasome subunit alpha type-2-A
AT1G16520,,16.12,UP,4.72,0.5587,uncharacterized protein
AT1G16560,,1.05,DOWN,11.94,1,Per1-like family protein
AT1G16570,,4.75,UP,5.65,0.1974,beta-1;4-mannosyltransferase
AT1G16610,RNPS1,1.09,UP,9.95,1,protein arginine/serine-rich 45
AT1G16700,,1.01,UP,24.46,1,Alpha-helical ferredoxin
AT1G16720,HCF173,1.09,DOWN,26.80,0.9662,high chlorophyll fluorescence phenotype 173 protein
AT1G16730,UP6,1.41,UP,9.81,0.9017,uncharacterized protein
AT1G16740,,1.77,UP,49.82,0.1881,Ribosomal protein L20
AT1G16810,,1.11,UP,50.37,1,uncharacterized protein
AT1G16825,,1.69,UP,10.03,0.7182,reticulon-like protein
AT1G16840,,1.81,UP,22.04,0.2763,uncharacterized protein
